Date,Open,High,Low,Close,Adj Close,Volume
12/15/2017,4200,4240,4180,4230,3746.440918,77110600
12/18/2017,4250,4250,4170,4240,3755.297607,47756500
12/19/2017,4200,4200,4170,4190,3711.013184,85383600
12/20/2017,4190,4200,4160,4160,3684.442627,87778400
12/21/2017,4190,4250,4170,4250,3764.153809,83893400
12/22/2017,4250,4300,4210,4300,3808.438477,50330400
12/25/2017,4300,4300,4300,4300,3808.438477,0
12/26/2017,4300,4300,4300,4300,3808.438477,0
12/27/2017,4270,4310,4270,4300,3808.438477,32211800
12/28/2017,4300,4390,4270,4390,3888.149902,88576700
12/29/2017,4390,4460,4390,4440,3932.433594,110053200
1/1/2018,4440,4440,4440,4440,3932.433594,0
1/2/2018,4430,4460,4380,4410,3905.86377,66075600
1/3/2018,4380,4380,4200,4230,3746.440918,129205000
1/4/2018,4230,4250,4190,4220,3737.583984,77953300
1/5/2018,4220,4280,4200,4280,3790.724609,55863000
1/8/2018,4250,4290,4250,4260,3773.010986,42916700
1/9/2018,4240,4240,4180,4200,3719.870117,100497400
1/10/2018,4200,4250,4180,4190,3711.013184,95004000
1/11/2018,4200,4200,4150,4170,3693.299561,80524900
1/12/2018,4160,4190,4130,4130,3657.872314,70976800
1/15/2018,4160,4170,4100,4120,3649.015381,71388000
1/16/2018,4150,4220,4120,4210,3728.726807,84393300
1/17/2018,4210,4220,4180,4200,3719.870117,77197700
1/18/2018,4210,4240,4160,4170,3693.299561,100089500
1/19/2018,4190,4190,4120,4160,3684.442627,70890100
1/22/2018,4120,4160,4120,4130,3657.872314,83090400
1/23/2018,4160,4160,4030,4090,3622.444824,184176500
1/24/2018,4090,4090,3970,3980,3525.019775,241779600
1/25/2018,3980,4020,3920,3970,3516.162842,232552500
1/26/2018,3990,4160,3990,4150,3675.585938,246067800
1/29/2018,4170,4180,4030,4070,3604.731201,156356300
1/30/2018,4020,4040,3960,3970,3516.162842,140694300
1/31/2018,3960,4060,3950,3990,3533.876465,112276200
2/1/2018,4030,4070,3980,3980,3525.019775,102291000
2/2/2018,4030,4030,4000,4000,3542.733398,71707200
2/5/2018,3950,4030,3920,4010,3551.590088,70792500
2/6/2018,3950,3990,3930,3940,3489.592529,146207400
2/7/2018,3990,4020,3950,3980,3525.019775,120081100
2/8/2018,3980,4040,3940,4020,3560.447266,101865000
2/9/2018,3970,4000,3940,3950,3498.449219,78255000
2/12/2018,3950,3990,3950,3960,3507.306152,58535200
2/13/2018,3990,4060,3980,4040,3578.160889,79288000
2/14/2018,4050,4080,3990,4040,3578.160889,63313200
2/15/2018,4050,4060,4000,4010,3551.590088,32896000
2/16/2018,4010,4010,4010,4010,3551.590088,0
2/19/2018,4050,4080,4040,4050,3587.017578,89429500
2/20/2018,4080,4080,4040,4070,3604.731201,53466600
2/21/2018,4040,4080,4020,4070,3604.731201,74130200
2/22/2018,4070,4070,4010,4010,3551.590088,91272600
2/23/2018,4030,4040,4010,4030,3569.303955,59706400
2/26/2018,4050,4050,4010,4030,3569.303955,56293900
